id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
38222927,Ensuite (Private bathroom & Toilet) double bedroom,34974017,Poorna,,Great Junction Street,55.96797,-3.17506,Private room,71,14,35,2022-09-30,0.97,3,15,13,
46137356,Newington Apartments,48893328,Finlay-James,,Newington and Dalkeith Road,55.94198,-3.17797,Entire home/apt,83,4,107,2022-12-08,4.26,6,212,56,
46184613,GuestReady - Homely Flat near Holyrood Park,373449529,Robin,,Newington and Dalkeith Road,55.93699,-3.17113,Entire home/apt,108,2,52,2022-11-28,2.13,1,242,27,
46445620,Edinburgh city centre royal mile lovely stay,367376422,Callum,,"Canongate, Southside and Dumbiedykes",55.95249,-3.18086,Entire home/apt,170,6,14,2022-08-22,0.78,1,0,7,
46462759,Charming & Cosy 1 BD Flat in Edinburgh,75794490,Murray,,Gorgie West,55.93805,-3.23675,Entire home/apt,850,2,5,2021-06-19,0.21,1,16,0,
46462993,Amazing 1 Bed Flat in the Historic Old Town,373606404,Dr Arvin,,"Old Town, Princes Street and Leith Street",55.95184,-3.18883,Entire home/apt,100,3,3,2021-04-09,0.13,1,0,0,
46467740,One double bedroom,272200535,Isaac,,The Calders,55.91999,-3.29066,Private room,999,1,1,2020-12-02,0.04,11,365,0,
46208894,Edinburgh West End Design Apartment | Sleeping 4,4442348,Ben,,Tollcross,55.94835,-3.21199,Entire home/apt,260,3,34,2022-12-05,2.48,1,343,30,
46322955,Spacious Suite & Office wokring area,137435771,Andy,,Deans Village,55.94568,-3.22976,Private room,83,1,22,2022-10-31,0.92,9,302,11,
48397470,Bright Central One Bedroom Mezzanine Apartment,70648585,Klara,,"Old Town, Princes Street and Leith Street",55.94851,-3.18379,Entire home/apt,86,5,50,2022-11-28,2.39,3,174,29,
48397696,Homely & Spacious 2 BR Flat in Bruntsfield Sleep 6,224444157,Sue And Grant,,Bruntsfield,55.9369,-3.21121,Entire home/apt,121,3,72,2022-11-13,3.54,27,76,47,
46469860,Stylish Stockbridge - Edinburgh,38315647,Daniel,,Stockbridge,55.95829,-3.20927,Entire home/apt,163,3,71,2022-12-10,2.84,1,128,41,
38235489,Mabel the luxury VW Retro Style Campervan,290538162,Daniel,,Morningside,55.93364,-3.1992,Entire home/apt,100,2,16,2022-09-16,0.41,1,0,6,
46478359,Newly decorated double bedroom,191117233,Honza,,The Inch,55.91913,-3.15857,Private room,60,2,2,2022-08-19,0.11,2,0,1,
46484626,‘New Town’ Georgian apartment in Unesco area,57253392,Andrew,,Hillside and Calton Hill,55.95762,-3.17394,Entire home/apt,99,1,128,2022-12-05,5.35,2,280,90,
46501929,Entire Flat/home in Town.,118866298,Rose,,Easter Road and Hawkhill Avenue,55.96398,-3.171,Entire home/apt,50,7,1,2022-04-05,0.12,2,0,1,
48399998,Stylish and chic apartment on Charlotte Square,6200921,Eddie,,Deans Village,55.95064,-3.20718,Entire home/apt,800,2,10,2022-08-24,0.60,21,168,5,
48416575,Maria Bright & Modern City Center Apartment  Maria,8047634,Uwe,,Restalrig and Lochend,55.9647,-3.15137,Entire home/apt,86,3,29,2022-10-26,1.77,5,78,16,
38236589,Vibrant city centre neighbourhood,9285180,Elaine,,Meadows and Southside,55.93774,-3.18016,Private room,40,2,27,2021-12-12,0.68,1,0,0,
48420316,Rena Bright & Modern City Center Apartment,8047634,Uwe,,Restalrig and Lochend,55.96391,-3.15132,Entire home/apt,448,7,0,,,5,0,0,
46507412,"City Centre 2BR, 2BA Apartment on The Royal Mile.",15466300,Jon,,"Old Town, Princes Street and Leith Street",55.95009,-3.18362,Entire home/apt,211,2,9,2022-10-20,0.48,7,180,6,
38286510,4 Bedroom Edinburgh City Apartment - Sleeps 12,266922185,Cairn Hotel,,Hillside and Calton Hill,55.95838,-3.18253,Entire home/apt,356,1,0,,,4,216,0,
46509768,Dean Village Retreat,111382550,Lainie,,Deans Village,55.952587,-3.217243,Entire home/apt,92,3,31,2022-10-02,1.67,1,0,17,
46541929,"Large,central apartment,walk to major attractions",57038487,Clare,,Polwarth,55.93874,-3.21884,Entire home/apt,136,3,57,2022-11-25,2.31,4,16,36,
48459086,Remarkable 2 Bed Apartment in Edinburgh,310835509,TravelNest,,The Shore and Constitution Street,55.97481,-3.17433,Entire home/apt,142,1,12,2022-10-16,0.56,5,351,4,
38286550,2 Bedroom Edinburgh City apartment - sleeps 4,266922185,Cairn Hotel,,Hillside and Calton Hill,55.95838,-3.18253,Entire home/apt,329,1,0,,,4,0,0,
48462280,Bright & Modern APT in Historic Leith - City Views,269607705,Rory,,North Leith and Newhaven,55.976055,-3.177142,Entire home/apt,129,2,16,2022-08-26,2.36,1,0,16,
48480629,Beautiful mews house in central Edinburgh,6200921,Eddie,,New Town West,55.95556,-3.20666,Entire home/apt,275,3,24,2022-11-27,1.45,21,195,18,
46574121,Lovely City Centre Hideaway,35227385,Fiona And Neil,,Great Junction Street,55.97087,-3.17167,Entire home/apt,89,5,17,2022-11-08,0.72,3,37,2,
38315974,"Luxury boutique flat, sleeps 4 w/free parking",16543969,Garry,,Broughton South,55.96667,-3.1846,Entire home/apt,88,1,217,2022-12-11,5.44,10,99,73,
46592900,Bright + Light Cosy Flat,16290175,Victoria,,The Shore and Constitution Street,55.97701,-3.16922,Entire home/apt,60,2,2,2021-06-06,0.11,1,0,0,
48480641,Private room close to City Centre and Airport,66425240,Tonnya,,Slateford and Chesser,55.93028,-3.24531,Private room,65,2,26,2022-11-20,1.38,1,79,13,
48487022,Paris Room - Double ensuite room,6748379,City Retreat,,Hillside and Calton Hill,55.957,-3.17295,Private room,160,1,28,2022-07-11,1.31,8,2,2,
46602790,family/pet friendly central 2 bed flat,35008588,Rachel,,North Leith and Newhaven,55.97553,-3.18031,Entire home/apt,97,2,44,2022-12-01,1.84,2,81,38,
46613103,Edlets Grosvenor Suites,21906467,Alison,,Deans Village,55.94744,-3.21719,Entire home/apt,800,2,0,,,37,361,0,
48501258,Private entrance Studio Flat sleeps 4,308848310,Caroline,,Murrayfield and Ravelston,55.95074,-3.23369,Entire home/apt,240,3,0,,,1,179,0,
48540636,Lothian Road - Castle View Apartment,2636321,John,,Tollcross,55.94546,-3.20439,Entire home/apt,434,3,36,2022-11-28,2.06,4,71,29,
46613709,Edlets Palmerston Suites,21906467,Alison,,Deans Village,55.94904,-3.21974,Entire home/apt,600,2,0,,,37,361,0,
46633582,Waterfront Living in Leith with Free Parking!,376962324,Elizabeth,,The Shore and Constitution Street,55.97764,-3.16937,Entire home/apt,171,2,69,2022-12-05,2.90,1,69,30,
46655697,Bright double room with shared bathroom,50725883,Ilio,,Canonmills and New Town North,55.960907,-3.200475,Private room,80,3,18,2022-11-27,1.10,10,0,16,
38342665,Your Victorian room(10min drive to Princes street),165689436,L & L,,Shandon,55.93474,-3.22739,Private room,110,2,25,2022-12-04,0.64,1,360,15,
46655701,Modern clean flat near the City Centre,31359023,Sarah,,Bonnington,55.96975,-3.18357,Entire home/apt,140,2,14,2022-12-11,2.08,1,239,14,
46685161,Cosy harbour cottage near city centre,43575585,Lorraine,,Boswall and Pilton,55.97879,-3.21794,Entire home/apt,70,2,0,,,1,0,0,
46722005,Edlets Beautiful Bothwell,21906467,Alison,,Easter Road and Hawkhill Avenue,55.96123,-3.16952,Entire home/apt,130,2,0,,,37,362,0,
48566702,Beautiful Family Friendly Central 5 Bedroom Flat.,35444811,Holly,,Canonmills and New Town North,55.95866,-3.19458,Entire home/apt,650,4,20,2022-09-06,1.03,1,0,10,
48600414,"The Maltings, superb contemporary luxury",392080668,Susan,,Slateford and Chesser,55.93137,-3.2377,Entire home/apt,300,4,8,2022-08-12,0.47,1,48,6,
48616549,Spacious apartment near the beach and Holyrood,16543969,Garry,,Northfield and Piershill,55.94764,-3.1347,Entire home/apt,133,1,159,2022-12-04,7.46,10,64,85,
48617380,"Famous House, 1 minute From Edinburgh Castle",344268039,Rentir,,"Old Town, Princes Street and Leith Street",55.94898,-3.19756,Entire home/apt,297,2,62,2022-12-04,2.97,36,265,37,
48625350,The perfect home on Royal Mile,151971635,Andy,,"Canongate, Southside and Dumbiedykes",55.95174,-3.17805,Entire home/apt,102,1,74,2022-11-26,3.59,1,57,42,
46767266,Comfortable and stylish 3 bed flat in Gorgie,40013762,Nina,,Gorgie West,55.93627,-3.23461,Entire home/apt,132,5,9,2022-10-26,1.53,6,79,9,
46769467,Big sunny room in spacious central new town flat,187780060,Monica,,Canonmills and New Town North,55.960281,-3.201068,Private room,82,1,137,2022-12-10,7.27,2,259,88,
46786894,Edlets Fettes Row 2 Bed Apartment,21906467,Alison,,Canonmills and New Town North,55.96045,-3.20127,Entire home/apt,200,2,0,,,37,364,0,
38349621,"Stunning views, next to the Botanic Gardens",29406761,Constanza,,"Inverleith, Goldenacre and Warriston",55.96954,-3.20628,Entire home/apt,332,5,10,2019-12-30,0.26,1,60,0,
46835094,Cosy Double Room in Beach Town Flat with Balcony,50718141,Chris,,Portobello,55.95544,-3.11906,Private room,35,1,0,,,3,0,0,
46853986,Cosy Double Room in Beach Town Flat with Balcony,50718141,Chris,,Portobello,55.95466,-3.11854,Private room,31,1,2,2021-01-04,0.08,3,0,0,
48636207,Brunton Apartment (UK33114),222202509,"Cottages,Com",,Hillside and Calton Hill,55.95885467529297,-3.174859046936035,Entire home/apt,999,1,3,2022-06-26,0.46,23,0,3,
48688461,Spacious 2BR Flat w/ Free Parking,392796747,Viara-Pass The Keys,,Dalry and Fountainbridge,55.94379,-3.2185,Entire home/apt,182,2,40,2022-11-27,1.99,1,87,21,
48709944,Cosy Little Room in the Heart of Edinburgh🤗,137112077,Vikash,,"Old Town, Princes Street and Leith Street",55.94872,-3.1885,Private room,66,1,96,2022-10-16,5.14,2,43,64,
48710194,"Perfectly located, modern city centre apartment",115336537,Ross & Hayley,,"Old Town, Princes Street and Leith Street",55.95371,-3.18852,Entire home/apt,149,5,157,2022-12-01,8.22,1,263,85,
48713235,Delightful Campervan In Edinburgh,225227525,Patrick,,Corstorphine South,55.93453,-3.2937,Entire home/apt,100,3,1,2022-07-05,0.18,1,349,1,
48714828,Comfy Little Room in the Heart of Edinburgh🤗,137112077,Vikash,,"Old Town, Princes Street and Leith Street",55.94786,-3.18894,Private room,59,1,59,2022-10-12,3.13,2,76,56,
46857850,Cosy Double Room in Beach Town Flat with Balcony,50718141,Chris,,Portobello,55.95517,-3.11877,Private room,31,1,0,,,3,0,0,
46910851,Beautiful flat with En-Suite bedroom in the Shore,92960541,Samir,,Great Junction Street,55.9746,-3.17125,Private room,95,1,31,2022-12-11,2.26,1,162,29,
46937235,Cozy flat with castle view in city centre,135519205,Lydia,,Tollcross,55.945,-3.20491,Entire home/apt,45,3,1,2021-01-02,0.04,1,0,0,
47021612,Fabulous Edinburgh Luxury New Town City Apartment,21906467,Alison,,Hillside and Calton Hill,55.95849,-3.18055,Entire home/apt,354,3,39,2022-12-02,2.08,37,10,31,
48744103,"A modern, bright double room, in Trinity; 2 bikes",192994431,Daljit,,Trinity,55.97171,-3.21029,Private room,35,28,32,2022-11-01,1.66,5,129,19,
38370928,"Cosy flat, great links to Airport & City Centre",136898461,Chris,,Clermiston and Drumbrae,55.95796,-3.28275,Entire home/apt,54,2,146,2022-12-11,3.70,2,175,62,
48754396,1 bed flat close to centre with free parking,35268703,Jenna,,"Inverleith, Goldenacre and Warriston",55.96948,-3.22497,Entire home/apt,80,3,5,2022-08-18,0.30,1,0,1,
48876903,Spacious City Centre Flat in Edinburgh sleeps 4,372750863,James,,"Canongate, Southside and Dumbiedykes",55.94456,-3.1834,Entire home/apt,87,2,5,2022-10-06,0.26,2,259,3,
48878126,3 Bedroom well connected family home free parking,394252104,Stephanie,,Balgreen and Roseburn,55.93993,-3.24913,Entire home/apt,170,3,54,2022-10-09,3.15,1,18,38,
47042660,Modern 1-BR Apt w/ views of Edinburgh Castle,37563463,Altido,,Tollcross,55.94676,-3.20205,Entire home/apt,100,2,25,2022-12-06,1.07,151,251,21,
47152559,2 Bedroom Central Flat Sea Views Free Parking,23663487,Simon,,The Shore and Constitution Street,55.97601,-3.17171,Entire home/apt,93,3,90,2022-11-27,6.01,2,13,78,
